model,param1,value1,param2,value2,deltaB_FIRAS,deltaB_over_Bcmb,compatible
log_sigmoid,lambda_c_m,5.115178099293146e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.115178099293146e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.115178099293146e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.917685748188831e-07,sharpness,2.0,1.0731799494900773e-07,1.3991915899479495e-06,True
log_sigmoid,lambda_c_m,5.917685748188831e-07,sharpness,4.0,1.509070646221744e-13,1.9674975830791967e-12,True
log_sigmoid,lambda_c_m,5.917685748188831e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.917685748188831e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.917685748188831e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,6.846096838574658e-07,sharpness,2.0,1.436331290849413e-07,1.8726613961530807e-06,True
log_sigmoid,lambda_c_m,6.846096838574658e-07,sharpness,4.0,2.703254287084178e-13,3.5244514825087066e-12,True
log_sigmoid,lambda_c_m,6.846096838574658e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,6.846096838574658e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,6.846096838574658e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,7.920164050192557e-07,sharpness,2.0,1.9223684211144842e-07,2.5063473547776847e-06,True
log_sigmoid,lambda_c_m,7.920164050192557e-07,sharpness,4.0,4.842376499780698e-13,6.3133983047988245e-12,True
log_sigmoid,lambda_c_m,7.920164050192557e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,7.920164050192557e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,7.920164050192557e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,9.162739011886731e-07,sharpness,2.0,2.572874081424592e-07,3.354464252183301e-06,True
log_sigmoid,lambda_c_m,9.162739011886731e-07,sharpness,4.0,8.67403371351827e-13,1.1309040043700481e-11,True
log_sigmoid,lambda_c_m,9.162739011886731e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,9.162739011886731e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,9.162739011886731e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.0600258488068825e-06,sharpness,2.0,3.4435018055056776e-07,4.489572106265551e-06,True
log_sigmoid,lambda_c_m,1.0600258488068825e-06,sharpness,4.0,1.5537432451750988e-12,2.025740867242632e-11,True
log_sigmoid,lambda_c_m,1.0600258488068825e-06,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.0600258488068825e-06,sharpness,16.0,0.0,0.0,True
