zHD,MU_SH0ES,MU_SH0ES_ERR_DIAG,c,USED_IN_SH0ES_HF,mu_lcdm,residual,cz,zbin
0.04575,36.5139,0.151933,-0.058108,1,36.53502791062233,-0.02112791062233299,-0.002658441,"(0.0439, 0.079]"
0.04625,36.2636,0.218105,-0.011597,1,36.55941770154105,-0.29581770154105413,-0.0005363612499999999,"(0.0439, 0.079]"
0.04643,36.3247,0.195021,0.0596,1,36.5681354700981,-0.24343547009809896,0.002767228,"(0.0439, 0.079]"
0.04656,36.5081,0.209562,-0.028343,1,36.57441127866489,-0.06631127866489095,-0.00131965008,"(0.0439, 0.079]"
0.04682,36.4786,0.148197,-0.116433,1,36.586912089155895,-0.10831208915589485,-0.0054513930599999995,"(0.0439, 0.079]"
0.04682,36.4857,0.182928,-0.143532,1,36.586912089155895,-0.10121208915589364,-0.006720168239999999,"(0.0439, 0.079]"
0.04691,36.7582,0.280677,0.15152,1,36.59122361726704,0.16697638273296178,0.007107803199999999,"(0.0439, 0.079]"
0.0476,36.6009,0.161688,-0.002868,1,36.6240147484973,-0.02311474849729933,-0.0001365168,"(0.0439, 0.079]"
0.04777,36.5946,0.145385,-0.060972,1,36.632022982322255,-0.03742298232225494,-0.00291263244,"(0.0439, 0.079]"
0.04777,36.5627,0.208806,-0.060006,1,36.632022982322255,-0.0693229823222552,-0.00286648662,"(0.0439, 0.079]"
0.04837,36.3735,0.154741,-0.058198,1,36.66006830334619,-0.28656830334619343,-0.00281503726,"(0.0439, 0.079]"
0.0486,36.3303,0.135835,-0.061435,1,36.67072974734844,-0.3404297473484377,-0.0029857409999999997,"(0.0439, 0.079]"
0.0494,36.4691,0.176995,-0.040141,1,36.70743624466363,-0.23833624466363545,-0.0019829654000000003,"(0.0439, 0.079]"
0.04944,36.5828,0.168097,-0.006857,1,36.70925642731986,-0.12645642731985873,-0.00033901008,"(0.0439, 0.079]"
0.04989,36.4714,0.18553,0.00342,1,36.729635826713945,-0.25823582671394263,0.00017062379999999998,"(0.0439, 0.079]"
0.05023,36.8583,0.163226,-0.094383,1,36.7449159485591,0.11338405144090302,-0.004740858089999999,"(0.0439, 0.079]"
0.05032,36.5403,0.453411,0.11931,1,36.748943933721165,-0.20864393372116297,0.0060036792,"(0.0439, 0.079]"
0.05106,36.8804,0.16836,-0.114949,1,36.781801109551914,0.09859889044808767,-0.00586929594,"(0.0439, 0.079]"
0.05151,36.5862,0.156832,-0.078777,1,36.801557348515715,-0.21535734851571675,-0.00405780327,"(0.0439, 0.079]"
0.05202,36.8679,0.208308,0.099567,1,36.82374700021276,0.044152999787236524,0.00517947534,"(0.0439, 0.079]"
0.05222,36.8411,0.218249,0.077106,1,36.83239146250093,0.008708537499067859,0.00402647532,"(0.0439, 0.079]"
0.05262,36.9144,0.207509,-0.030061,1,36.84958480174901,0.06481519825099014,-0.00158180982,"(0.0439, 0.079]"
0.05316,36.8474,0.172204,-0.10615,1,36.872596541144624,-0.025196541144623552,-0.005642934,"(0.0439, 0.079]"
0.05346,36.8631,0.133817,-0.139525,1,36.88528344442815,-0.022183444428144128,-0.0074590065,"(0.0439, 0.079]"
0.05469,36.8581,0.149593,-0.131506,1,36.93659084453302,-0.07849084453302169,-0.007192063140000001,"(0.0439, 0.079]"
0.05541,36.8676,0.194374,-0.026126,1,36.96610994809798,-0.09850994809797697,-0.0014476416600000001,"(0.0439, 0.079]"
0.05693,37.0393,0.176308,0.031526,1,37.027231463534946,0.012068536465051238,0.00179477518,"(0.0439, 0.079]"
0.05708,36.9903,0.171451,-0.02589,1,37.033177620995346,-0.04287762099534831,-0.0014778012,"(0.0439, 0.079]"
0.05728,37.0687,0.221323,0.10104,1,37.04108243954973,0.027617560450266865,0.0057875712,"(0.0439, 0.079]"
0.0583,36.9545,0.182842,-0.099359,1,37.080987709745365,-0.12648770974536205,-0.0057926297,"(0.0439, 0.079]"
0.05886,36.9802,0.215566,-0.055128,1,37.102611341055834,-0.12241134105583029,-0.0032448340800000004,"(0.0439, 0.079]"
0.06099,37.1631,0.123921,-0.136015,1,37.18308738254465,-0.019987382544648824,-0.00829555485,"(0.0439, 0.079]"
0.06099,37.1925,0.16057,-0.137115,1,37.18308738254465,0.009412617455353711,-0.00836264385,"(0.0439, 0.079]"
0.06153,37.0747,0.183316,-0.016435,1,37.2030597968713,-0.12835979687130106,-0.0010112455500000002,"(0.0439, 0.079]"
0.06372,37.3517,0.206518,-0.046839,1,37.282367635917694,0.0693323640823067,-0.0029845810799999997,"(0.0439, 0.079]"
0.06533,37.0851,0.153034,-0.012542,1,37.33901811291435,-0.25391811291435573,-0.0008193688599999999,"(0.0439, 0.079]"
0.06627,37.3617,0.203312,-0.020643,1,37.3714768287292,-0.00977682872920127,-0.00136801161,"(0.0439, 0.079]"
0.06654,37.1627,0.296189,0.11238,1,37.38071839940281,-0.21801839940280843,0.0074777652,"(0.0439, 0.079]"
0.06711,37.4237,0.194412,-0.114194,1,37.4001107946616,0.02358920533839637,-0.007663559340000001,"(0.0439, 0.079]"
0.07023,37.2944,0.277681,0.034078,1,37.50353846534203,-0.20913846534202918,0.0023932979399999997,"(0.0439, 0.079]"
0.07056,37.2961,0.226908,0.060506,1,37.51421920125159,-0.21811920125158935,0.00426930336,"(0.0439, 0.079]"
0.07056,37.2775,0.212322,0.060985,1,37.51421920125159,-0.23671920125158863,0.0043031015999999995,"(0.0439, 0.079]"
