Bmax,lambda0_m,bias_opt,bias_ir,bias_cmb,cmb_minus_opt
0.05,0.00017426333860096508,2.0390540786952018e-07,2.4006959364053504e-06,0.05,0.04999979609459213
0.05,0.00018464249428955444,1.80369256308488e-07,2.1235966382537886e-06,0.05,0.049999819630743694
0.05,0.0001956398343517065,1.5954980339683011e-07,1.8784808068217362e-06,0.05,0.049999840450196606
0.05,0.0002072921779595372,1.4113347071020855e-07,1.6616569642413649e-06,0.05,0.049999858866529294
0.05,0.0002196385372416547,1.2484287481018264e-07,1.4698596683793142e-06,0.05,0.049999875157125194
0.05,0.00023272024789604097,1.1043264945831411e-07,1.3002003499573702e-06,0.05,0.04999988956735055
0.05,0.0002465811075822604,9.76857500445405e-08,1.1501238215638755e-06,0.05,0.04999990231424996
0.05,0.0002612675225563329,8.641018455768368e-08,1.0173698044513292e-06,0.05,0.049999913589815446
0.05,0.00027682866303920667,7.643612190411098e-08,8.999388943997656e-07,0.05,0.0499999235638781
0.05,0.00029331662783900454,6.761333393723313e-08,7.960624547054262e-07,0.05,0.049999932386666064
0.05,0.0003107866187782014,5.980893281742894e-08,7.041759832293604e-07,0.05,0.04999994019106718
0.05,0.00032929712550971513,5.290536946311875e-08,6.228955527654013e-07,0.05,0.04999994709463054
0.05,0.0003489101213406774,4.679866307255587e-08,5.509969702111039e-07,0.05,0.04999995320133693
0.05,0.0003696912707195028,4.1396834993268074e-08,4.873973407537591e-07,0.04999999999999999,0.049999958603164994
0.05,0.00039171014908092607,3.661852335246074e-08,4.311387596989125e-07,0.04999999999999915,0.0499999633814758
0.05,0.0004150404757850477,3.2391757620597875e-08,3.813738863600591e-07,0.049999999999966904,0.04999996760820928
0.05,0.00043976036093027214,2.8652874572987486e-08,3.3735318286653995e-07,0.04999999999915736,0.049999971346282784
0.05,0.0004659525668664682,2.5345559423461952e-08,2.9841362578775234e-07,0.04999999998523693,0.04999997463967751
0.05,0.0004937047852839004,2.241999763064051e-08,2.6396872053746635e-07,0.049999999814145796,0.049999977394148166
0.05,0.0005231099308056264,1.983212458145367e-08,2.334996683561741e-07,0.049999998253378426,0.049999978421253845
0.05,0.0005542664520663107,1.7542961905370192e-08,2.0654755265026028e-07,0.04999998732605809,0.04999996978309619
0.05,0.0005872786613189483,1.551803036625721e-08,1.8270642729301123e-07,0.04999992683976726,0.049999911321736895
0.05,0.0006222570836730231,1.3726830577764915e-08,1.6161720255980506e-07,0.04999965504969094,0.04999964132286037
0.05,0.0006593188271333549,1.2142383593038986e-08,1.4296223682097598e-07,0.04999864012171448,0.04999862797933089
0.05,0.0006985879746785249,1.074082456864467e-08,1.264605524242679e-07,0.049995424077699586,0.049995413336875016
0.05,0.0007401959996915645,9.501043291004764e-09,1.1186360378001581e-07,0.04998661465180114,0.04998660515075785
0.05,0.0007842822061337681,8.404366247383167e-09,9.895153389449796e-08,0.04996540811094259,0.04996539970657635
0.05,0.0008309941949353395,7.434275350881592e-09,8.752986300208932e-08,0.04991988327726143,0.04991987584298608
0.05,0.0008804883581643465,6.5761591450108625e-09,7.74265593972423e-08,0.049831589101427855,0.04983158252526871
0.05,0.0009329304026284687,5.817092718629624e-09,6.848944834048077e-08,0.049675081061252936,0.04967507524416022
0.05,0.0009884959046625587,5.1456430671947835e-09,6.05839200640279e-08,0.04941891932934658,0.04941891418370352
0.05,0.0010473708979594509,4.551696836108121e-09,5.3590902332478764e-08,0.0490282445965877,0.04902824004489086
0.05,0.0011097524964120721,4.026308048077354e-09,4.7405066999628435e-08,0.048468558982271,0.04846855495596295
0.05,0.0011758495540521582,3.5615633164898245e-09,4.1933243577485514e-08,0.047709966952925925,0.04770996339136261
0.05,0.0012458833642950082,3.1504626796241554e-09,3.7093015942124553e-08,0.04673101192563625,0.04673100877517357
0.05,0.0013200884008314193,2.786814168320717e-09,3.281148097666886e-08,0.045521390624613446,0.04552138783779928
0.05,0.0013987131026472386,2.4651405139408667e-09,2.9024150538514706e-08,0.04408314789044124,0.04408314542530072
0.05,0.00148202070579886,2.18059669210291e-09,2.567398013075817e-08,0.042430318082340525,0.042430315901743836
0.05,0.0015702901247293774,1.928896914416001e-09,2.2710509733903097e-08,0.04058727510668956,0.04058727317779264
0.05,0.0016638168860761307,1.706250091215722e-09,2.0089103752729545e-08,0.038586223900300594,0.0385862221940505
0.05,0.001762914118095948,1.5093027272428117e-09,1.777027874294568e-08,0.03646430760435886,0.03646430609505614
0.05,0.0018679135990207847,1.335088412046659e-09,1.571910870912241e-08,0.03426074750448057,0.034260746169392155
0.05,0.0019791668678535573,1.180983133508562e-09,1.3904699053268743e-08,0.03201432090629469,0.03201431972531156
0.05,0.002097046401323235,1.0446657705553974e-09,1.2299721247055474e-08,0.029761355569509457,0.029761354524843686
0.05,0.002221946860939524,9.240831100321145e-10,1.0880001205526568e-08,0.02753430611387911,0.027534305189796
