short,base_name,target_name,obs_id,proposal_id,filters,instrument,t_exptime,dataURL
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_10886_36_acs_wfc_f814w,10886,F814W,ACS/WFC,2128.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10886_36_acs_wfc_f814w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_11202_45_wfpc2_f606w_wf,11202,F606W,WFPC2/WFC,4400.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_45_wfpc2_f606w_wf_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_11202_99_wfc3_ir_f160w,11202,F160W,WFC3/IR,2396.928,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_99_wfc3_ir_f160w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_12898_19_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_19_wfc3_uvis_f390w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_12898_20_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2272.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_20_wfc3_uvis_f390w_drz.fits
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_mos_0034663_acs_wfc_f814w,10886,F814W,ACS/WFC,2128.0,--
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_mos_0034663_wfc3_ir_f160w,11202,F160W,WFC3/IR,2396.928,--
J1430,SDSS-J143004.10+410557.1,SDSSJ1430+4105,hst_mos_0034663_wfc3_ir_f160w_uvis_f390w,0,F160W;F390W,WFC3/IR,6940.92822265625,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_mos_0034663_wfc3_ir_f160w&amp;blue=hst_mos_0034663_wfc3_uvis_f390w&amp;size=ALL&amp;format=fits
J1430,SDSS-J143004.10+410557.1,SDSS-J143004.10+410557.1,hst_mos_0034663_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,4544.0,--
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_10886_49_acs_wfc_f814w_j9op49,10886,F814W,ACS/WFC,2088.0,mast:HST/product/hst_10886_49_acs_wfc_f814w_j9op49_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_11202_52_wfpc2_pc_f606w_ua1l52,11202,F606W,WFPC2/PC,4400.0,mast:HST/product/hst_11202_52_wfpc2_pc_f606w_ua1l52_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_29_wfc3_uvis_f390w_ibzi29,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_29_wfc3_uvis_f390w_ibzi29_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_30_wfc3_uvis_f390w_ibzi30,12898,F390W,WFC3/UVIS,2276.0,mast:HST/product/hst_12898_30_wfc3_uvis_f390w_ibzi30_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_skycell-p1321x14y19_acs_wfc_f814w_all,--,F814W,ACS/WFC,2088.0,mast:HST/product/hst_skycell-p1321x14y19_acs_wfc_f814w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_skycell-p1321x14y19_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1321x14y19_wfc3_uvis_f390w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_skycell-p1411x14y03_acs_wfc_f814w_all,--,F814W,ACS/WFC,2088.0,mast:HST/product/hst_skycell-p1411x14y03_acs_wfc_f814w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_skycell-p1411x14y03_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4552.0,mast:HST/product/hst_skycell-p1411x14y03_wfc3_uvis_f390w_all_drc.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,j9op49010,10886,F814W,ACS/WFC,2088.0,mast:HST/product/j9op49010_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,na1l0g010,11202,F160W,NICMOS/NIC2,2559.976013,mast:HST/product/na1l0g010_mos.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_10886_49_acs_wfc_f814w,10886,F814W,ACS/WFC,2088.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_10886_49_acs_wfc_f814w_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,HST_11202_0g_NIC_NIC2_F160W,11202,F160W,NICMOS/NIC2,2559.88,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_11202_0g_NIC_NIC2_F160W_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSSJ2341+0000,hst_11202_52_wfpc2_f606w_wf,11202,F606W,WFPC2/WFC,4400.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11202_52_wfpc2_f606w_wf_drz.fits
J2341,SDSS-J234111.57+000018.6,SDSS-J234111.57+000018.6,hst_12898_29_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,2276.0,https://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_12898_29_wfc3_uvis_f390w_drz.fits
