sim,C390,C814,ratio,C814_gt_C390
278,0.1059407594293709,0.1124799498442036,1.0617249720509347,True
279,0.14344039793701724,0.1521531732659632,1.0607414330568967,True
280,0.3025372702555263,0.3194421735513438,1.0558770933628754,True
281,0.08841597377136247,0.11012477781977505,1.245530339399417,True
282,0.22437589066871202,0.2668052664445001,1.1890995313682542,True
283,0.14660711739304497,0.1602896910357778,1.0933281677317934,True
284,0.12386608273049653,0.13788071360325743,1.1131434091062156,True
285,0.12422550151012937,0.13932172533330903,1.1215227440393847,True
286,0.16570210333043675,0.1646050640064451,0.9933794484080628,False
287,0.1405254571557382,0.1476282817354652,1.0505447534097345,True
288,0.1573666424478748,0.16443701280019457,1.0449292826124934,True
289,0.15265523188711494,0.16469444421469862,1.0788653764352236,True
290,0.2908371996669388,0.3006394345530959,1.0337035114400168,True
291,0.2795947709645527,0.2827759554186575,1.0113778395895254,True
292,0.2349994840278555,0.2605727588607254,1.1088226850312513,True
293,0.18518061277230266,0.19453396949091573,1.0505093734089428,True
294,0.25375861260623095,0.2856704874334379,1.1257568147124375,True
295,0.19968588006634855,0.2024704624732759,1.0139448137544935,True
296,0.23637961237892632,0.24680464090226834,1.0441029089540526,True
297,0.31302762578017307,0.32459822161112917,1.0369634973977717,True
298,0.1885142749662304,0.20441626131520865,1.0843542821986656,True
299,0.3672092707801859,0.37261136223588165,1.014711206621277,True
300,0.11665516111611765,0.12559199273384977,1.0766089689665463,True
301,0.13845382781393,0.14807931138335031,1.0695212528349605,True
302,0.11510078648899115,0.1215396494029255,1.0559410852900661,True
303,0.29131034584678733,0.30853080746961514,1.0591138003450271,True
304,0.2039227741288374,0.2144102709975036,1.0514287671569251,True
305,0.3357563136822601,0.34191255470334186,1.0183354438031735,True
306,0.23350927770682545,0.24382794751486717,1.0441895495946716,True
307,0.26010193511130697,0.26149623836863095,1.0053606031678592,True
308,0.18386677046312588,0.19562438726744585,1.063946393221052,True
309,0.14654098036623336,0.16253576283212623,1.109148870342746,True
310,0.11802534276363155,0.13238355362375104,1.1216536256020417,True
311,0.09065200519345253,0.09666234699307698,1.0663012559600673,True
312,0.18752660163209964,0.18218767432495683,0.9715297602544037,False
313,0.06310395416808265,0.0645802321975588,1.0233943823162646,True
314,0.20213062504740156,0.226910500905413,1.1225933766948988,True
315,0.2162646351049632,0.21840769919428704,1.0099094523165275,True
316,0.14959332487876392,0.16494496367243347,1.10262248536899,True
317,0.14286619749501406,0.14324935849633585,1.0026819570202052,True
318,0.2742122172019188,0.28629466530652864,1.0440623989255475,True
319,0.08139190721860062,0.08620095577669436,1.059085094850741,True
320,0.10863899336767827,0.11463007835289635,1.055146727703393,True
321,0.12223137693592995,0.13005964871765,1.0640446993068187,True
322,0.18355442140749806,0.18482916561343374,1.0069447752669805,True
323,0.16124213454853903,0.173751905351935,1.0775837583546137,True
324,0.25732776042051075,0.2648620062251526,1.0292787913450527,True
325,0.1597704208737818,0.1617704519280256,1.012518156009765,True
326,0.10626457167073966,0.10601720779514794,0.9976721886542,False
327,0.25409417258845307,0.27313500992599676,1.074936143334477,True
328,0.09537315652019288,0.0996036011066215,1.0443567639027753,True
329,0.142566256518,0.14865099660794018,1.0426800860073921,True
330,0.08620202424691521,0.08452788835752875,0.9805789260285687,False
331,0.2253690255499871,0.22770651954857715,1.0103718512022033,True
332,0.1840506444841074,0.21176004283517,1.150553117750453,True
333,0.2174699530155062,0.23410865110155382,1.076510330992076,True
334,0.21546919714247256,0.2305993075864409,1.0702193661303894,True
335,0.1418496118121209,0.15788894926898747,1.1130728329247075,True
336,0.18306551238739677,0.18771032586148031,1.0253724112942386,True
337,0.18809624574565176,0.19253275726372787,1.0235863905762121,True
338,0.18320281047734874,0.18947686186550003,1.0342464800174396,True
339,0.2293872765104442,0.23023152282612305,1.0036804409055375,True
340,0.10907969770692809,0.11730980730834849,1.0754504254635249,True
341,0.3172879725396901,0.31387923739302354,0.9892566518693356,False
342,0.34478688879665526,0.351236987184679,1.0187074932301958,True
343,0.09695577962147028,0.0974868850000153,1.0054778104061308,True
344,0.15827874547488088,0.16734021350157505,1.057250062220971,True
345,0.24367375284871864,0.23552021242813978,0.9665391109002992,False
346,0.0903146232821851,0.09654937198975398,1.069033656798729,True
347,0.23947563668210184,0.24441428542456253,1.0206227606736322,True
348,0.2968466808901909,0.3200770351174696,1.0782570792357016,True
349,0.16160954702576513,0.17361881576708282,1.0743103916961234,True
350,0.19180411334913963,0.20615126220776392,1.0748010488831816,True
351,0.0859128122318956,0.08818109276831057,1.0264021218429265,True
352,0.24366269839681012,0.27598323269735175,1.1326445718330957,True
353,0.1115481996554217,0.12902880866044156,1.1567090195899026,True
